,ident,type,name,latitude_deg,longitude_deg,iata_code,state,county
33,KCEW,medium_airport,Bob Sikes Airport,30.778799057,-86.522102356,CEW,Florida,Okaloosa
34,KCGF,medium_airport,Cuyahoga County Airport,41.5651016235,-81.4863967896,CGF,Ohio,Cuyahoga
35,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,CLE,Ohio,Cuyahoga
36,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,CLT,North Carolina,Mecklenburg
37,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,CMH,Ohio,Franklin
38,KCNU,medium_airport,Chanute Martin Johnson Airport,37.668173,-95.486727,CNU,Kansas,Neosho
39,KCOD,medium_airport,Yellowstone Regional Airport,44.520198822,-109.024002075,COD,Wyoming,Park
40,KCOE,medium_airport,Coeur D'Alene - Pappy Boyington Field,47.77429962,-116.8199997,COE,Idaho,Kootenai
41,KCON,medium_airport,Concord Municipal Airport,43.20270157,-71.50229645,CON,New Hampshire,Merrimack
42,KCOS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,COS,Colorado,El Paso
43,KCRG,medium_airport,Jacksonville Executive at Craig Airport,30.3362998962,-81.51439666750001,CRG,Florida,Duval
44,KCSV,medium_airport,Crossville Memorial Whitson Field,35.9513015747,-85.08499908450001,CSV,Tennessee,Cumberland
45,KCTB,medium_airport,Cut Bank International Airport,48.608657,-112.378183,CTB,Montana,Glacier
46,KCUB,medium_airport,Jim Hamilton L.B. Owens Airport,33.970500946,-80.9952011108,CUB,South Carolina,Richland
47,KCVO,medium_airport,Corvallis Municipal Airport,44.49720001,-123.2900009,CVO,Oregon,Benton
48,KCXO,medium_airport,Conroe-North Houston Regional Airport,30.351801,-95.414497,CXO,Texas,Montgomery
49,KDAL,medium_airport,Dallas Love Field,32.847099,-96.851799,DAL,Texas,Dallas
50,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,DCA,Virginia,Arlington
51,KDEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,DEN,Colorado,Denver
52,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,DFW,Texas,Tarrant
53,KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,46.7974014282,-102.802001953,DIK,North Dakota,Stark
54,KDLH,medium_airport,Duluth International Airport,46.842098,-92.193604,DLH,Minnesota,Saint Louis
56,KDMN,medium_airport,Deming Municipal Airport,32.262298584,-107.721000671,DMN,New Mexico,Luna
57,KDNL,medium_airport,Daniel Field,33.4664993286,-82.0393981934,DNL,Georgia,Richmond
58,KDPA,medium_airport,Dupage Airport,41.90779877,-88.24859619,DPA,Illinois,DuPage
59,KDRT,medium_airport,Del Rio International Airport,29.3742008209,-100.927001953,DRT,Texas,Val Verde
60,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,DTW,Michigan,Wayne
61,KDUG,medium_airport,Bisbee Douglas International Airport,31.4689998627,-109.603996277,DUG,Arizona,Cochise
62,KEAT,medium_airport,Pangborn Memorial Airport,47.3988990784,-120.207000732,EAT,Washington,Douglas
63,KECG,medium_airport,Elizabeth City Regional Airport & Coast Guard Air Station,36.260601,-76.174599,ECG,North Carolina,Pasquotank
64,KECP,medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,ECP,Florida,Bay
65,KEED,medium_airport,Needles Airport,34.7663002014,-114.623001099,EED,California,San Bernardino
66,KEEN,medium_airport,Dillant Hopkins Airport,42.898399,-72.270798,EEN,New Hampshire,Cheshire
67,KEET,medium_airport,Shelby County Airport,33.17699814,-86.78279877,,Alabama,Shelby
68,KEGE,medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,EGE,Colorado,Eagle
69,KEKN,medium_airport,Elkins-Randolph County Regional Airport,38.889759,-79.857651,EKN,West Virginia,Randolph
70,KELO,medium_airport,Ely Municipal Airport,47.82450104,-91.83070374,LYU,Minnesota,Saint Louis
71,KENW,medium_airport,Kenosha Regional Airport,42.59569931,-87.92780304,ENW,Wisconsin,Kenosha
72,KESF,medium_airport,Esler Army Airfield / Esler Regional Airport,31.394266,-92.294082,ESF,Louisiana,Rapides Parish
73,KEWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,EWR,New Jersey,Essex
74,KFAR,medium_airport,Hector International Airport,46.92070007324219,-96.81580352783205,FAR,North Dakota,Cass
75,KFAT,medium_airport,Fresno Yosemite International Airport,36.776199,-119.718002,FAT,California,Fresno
76,KFDY,medium_airport,Findlay Airport,41.0135002136,-83.66870117190001,FDY,Ohio,Hancock
77,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,FLL,Florida,Broward
78,KFME,medium_airport,Tipton Airport,39.08539962769999,-76.7593994141,FME,Maryland,Anne Arundel
79,KFMY,medium_airport,Page Field,26.58659935,-81.86329650879999,FMY,Florida,Lee
80,KFRG,medium_airport,Republic Airport,40.7288017273,-73.4133987427,FRG,New York,Suffolk
81,KFSD,medium_airport,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,FSD,South Dakota,Minnehaha
82,KFTW,medium_airport,Fort Worth Meacham International Airport,32.819801,-97.362396,FTW,Texas,Tarrant
83,KFTY,medium_airport,Fulton County Airport Brown Field,33.7790985107,-84.5214004517,FTY,Georgia,Fulton
84,KFWA,medium_airport,Fort Wayne International Airport,40.9785,-85.195099,FWA,Indiana,Allen
85,KFXE,medium_airport,Fort Lauderdale Executive Airport,26.1972999573,-80.1707000732,FXE,Florida,Broward
86,KGCC,medium_airport,Northeast Wyoming Regional Airport,44.3489,-105.539001,GCC,Wyoming,Campbell
87,KGCN,medium_airport,Grand Canyon National Park Airport,35.9524,-112.147003,GCN,Arizona,Coconino
88,KGFK,medium_airport,Grand Forks International Airport,47.949299,-97.176102,GFK,North Dakota,Grand Forks
89,KGFL,medium_airport,Floyd Bennett Memorial Airport,43.3412017822,-73.6102981567,GFL,New York,Warren
